"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
691406,"Caminero, Junior",1685,0.9083557951482479,1307,"79.024141561",0.8362017804154304,0.297628156082632,0.2308605341246291,0.23565416985462892,0.1827893175074184,"8.500371596",27,11.526687535684415,378,0.22433234421364986,682,0.40474777448071214
665833,"Cruz, Oneil",1263,0.9053763440860215,832,"78.670316223",0.782264449722882,0.3293269230769231,0.21694378463974665,0.24639423076923078,0.1623119556611243,"7.713330641",26,-21.356547414311944,431,0.3412509897070467,407,0.3222486144101346
691023,"Walker, Jordan",1338,0.904054054054054,935,"78.616275613",0.8183856502242153,0.28449197860962566,0.19880418535127056,0.2160427807486631,0.15097159940209268,"8.280415852",37,-6.238789092495056,403,0.30119581464872947,477,0.35650224215246634
701762,"Kurtz, Nick",1351,0.9079301075268817,891,"77.711576995",0.766099185788305,0.2839506172839506,0.18726868985936343,0.22334455667789002,0.14729829755736493,"7.729672272",35,17.593787044045634,460,0.3404885270170244,417,0.30866025166543304
666176,"Adell, Jo",1779,0.9030456852791878,1352,"77.472051203",0.7240022484541876,0.2522189349112426,0.19168071950534007,0.17455621301775148,0.13265879707700956,"7.727313867",51,-16.78290520891936,427,0.24002248454187747,619,0.34794828555368185
656941,"Schwarber, Kyle",1835,0.9008345606283751,1290,"77.22612315",0.7651226158038146,0.29224806201550385,0.20544959128065396,0.2186046511627907,0.1536784741144414,"7.511000283",86,19.460279772207034,545,0.2970027247956403,579,0.31553133514986376
592450,"Judge, Aaron",1435,0.9030837004405287,977,"76.731349937",0.6954703832752611,0.3336745138178096,0.22717770034843204,0.2374616171954964,0.1616724738675958,"8.109645617",47,39.14650146332941,458,0.3191637630662021,479,0.3337979094076655
695657,"Montgomery, Colson",1154,0.9043887147335423,776,"76.601684558",0.6854419410745234,0.25257731958762886,0.16984402079722705,0.17010309278350516,0.11438474870017332,"7.857309757",30,-4.7296784799698255,378,0.3275563258232236,369,0.3197573656845754
677594,"Rodríguez, Julio",1866,0.9058252427184466,1368,"76.474850798",0.6463022508038587,0.29678362573099415,0.21757770632368703,0.19298245614035087,0.1414790996784566,"7.718163424",29,-12.272161839209158,498,0.26688102893890675,699,0.3745980707395498
665489,"Guerrero Jr., Vladimir",1515,0.9099099099099099,1210,"76.464923314",0.6561056105610561,0.34793388429752065,0.2778877887788779,0.23636363636363636,0.18877887788778877,"7.601945677",15,-16.565375872681148,305,0.20132013201320131,727,0.47986798679867987
575929,"Contreras, Willson",1540,0.902696365767878,1111,"76.383086558",0.6564935064935066,0.279027902790279,0.2012987012987013,0.1791179117911791,0.1292207792207792,"7.939585455",33,3.740422932972127,429,0.2785714285714286,538,0.34935064935064936
695578,"Wood, James",1670,0.901241230437129,1183,"76.329008126",0.6455089820359282,0.33727810650887574,0.23892215568862277,0.23330515638207946,0.16526946107784432,"7.566462365",78,1.7172461101981846,487,0.29161676646706586,578,0.3461077844311377
660670,"Acuña Jr., Ronald",1092,0.899505766062603,788,"76.270297289",0.6556776556776556,0.28426395939086296,0.20512820512820512,0.18908629441624367,0.13644688644688643,"7.609307601",33,-9.431230738877879,304,0.2783882783882784,365,0.3342490842490842
663586,"Riley, Austin",1463,0.9036442248301421,1036,"75.793297225",0.5898838004101163,0.2799227799227799,0.19822282980177716,0.17471042471042472,0.12371838687628162,"7.560635762",35,-42.77770933421532,427,0.291866028708134,479,0.3274094326725906
701358,"Smith, Cam",1505,0.9039039039039038,1092,"75.699740937",0.5887043189368771,0.2600732600732601,0.18870431893687709,0.15934065934065933,0.11561461794019934,"7.468885867",24,-41.87007666201179,413,0.2744186046511628,519,0.34485049833887044
682985,"Greene, Riley",1930,0.9069548872180451,1342,"75.631640482",0.578756476683938,0.2615499254843517,0.18186528497409327,0.1602086438152012,0.11139896373056994,"7.273070373",17,-18.448547951229678,588,0.30466321243523314,574,0.29740932642487045
660271,"Ohtani, Shohei",1766,0.9037871033776868,1231,"75.462954694",0.5770101925254811,0.3704305442729488,0.2582106455266138,0.2420796100731113,0.16874292185730463,"7.912776501",23,25.77931939186087,535,0.3029445073612684,617,0.34937712344280863
656305,"Chapman, Matt",1374,0.9075297225891678,1052,"75.431616084",0.5502183406113539,0.2661596958174905,0.20378457059679767,0.1596958174904943,0.1222707423580786,"7.440287169",31,-29.5964430051,322,0.23435225618631733,500,0.363901018922853
682663,"Ramírez, Agustín",1158,0.9089481946624803,871,"75.357601615",0.5639032815198618,0.3111366245694604,0.23402417962003455,0.20321469575200918,0.15284974093264247,"7.527029758",26,-32.89170410614831,287,0.24784110535405873,478,0.41278065630397237
660821,"Sánchez, Jesús",1226,0.9047970479704797,918,"75.202804135",0.544861337683524,0.3017429193899782,0.22593800978792822,0.18082788671023964,0.13539967373572595,"6.907295106",17,-38.854049682999076,308,0.25122349102773245,456,0.3719412724306688
686948,"Baldwin, Drake",1318,0.9052197802197802,1059,"75.174058187",0.5500758725341427,0.31633616619452315,0.2541729893778452,0.18980169971671387,0.15250379362670713,"7.227334901",22,-7.961715321692154,259,0.19650986342943855,513,0.3892261001517451
663728,"Raleigh, Cal",1845,0.90087890625,1319,"75.087202369",0.5344173441734419,0.2539802880970432,0.18157181571815717,0.15011372251705837,0.1073170731707317,"7.884232889",42,-21.721004982281112,526,0.2850948509485095,528,0.2861788617886179
624413,"Alonso, Pete",1806,0.9079939668174962,1353,"75.082861916",0.5166112956810632,0.3318551367331855,0.24861572535991142,0.22246858832224686,0.16666666666666666,"7.109642049",29,-11.70907262956906,453,0.25083056478405313,669,0.3704318936877076
669065,"Stowers, Kyle",1356,0.904,939,"75.064440324",0.5213864306784662,0.3003194888178914,0.2079646017699115,0.18423855165069222,0.1275811209439528,"6.756655494",41,-0.8853632194958183,417,0.3075221238938053,430,0.31710914454277284
682998,"Carroll, Corbin",1699,0.9046858359957402,1283,"74.993059464",0.509123013537375,0.31098986749805146,0.23484402589758682,0.18550272798129383,0.14008240141259565,"7.366945539",23,-8.488866033179916,416,0.2448499117127722,621,0.3655091230135374
672356,"Arias, Gabriel",1077,0.9073294018534119,651,"74.989002433",0.5134633240482823,0.28417818740399386,0.17177344475394615,0.17050691244239632,0.10306406685236769,"7.583125023",27,-30.78545842172544,426,0.3955431754874652,305,0.28319405756731664
669394,"Burger, Jake",1265,0.90421729807005,885,"74.978055194",0.5367588932806326,0.3231638418079096,0.22608695652173913,0.20564971751412428,0.14387351778656127,"7.458024403",34,-24.101684321396434,380,0.30039525691699603,468,0.36996047430830037
683002,"Henderson, Gunnar",1811,0.9077694235588972,1408,"74.9529527",0.49751518498067354,0.3132102272727273,0.2435118718939812,0.18039772727272727,0.14025400331308668,"7.298886908",36,-28.979781840296045,403,0.22252898950855882,698,0.38542241855328546
680776,"Duran, Jarren",1707,0.9060509554140127,1215,"74.905347088",0.48506151142355003,0.29958847736625516,0.21323960164030462,0.18271604938271604,0.13005272407732865,"7.530076087",39,-42.40357955405547,492,0.28822495606326887,631,0.36965436438195665
683146,"Baty, Brett",1275,0.9048970901348474,937,"74.830669686",0.5043137254901963,0.30096051227321235,0.2211764705882353,0.1632870864461046,0.12,"7.367949349",33,-25.64764971562751,338,0.26509803921568625,456,0.35764705882352943
696100,"Goodman, Hunter",1675,0.9073672806067172,1155,"74.749390591",0.47104477611940293,0.29523809523809524,0.2035820895522388,0.16536796536796536,0.11402985074626866,"7.312915976",38,2.8894020746143387,520,0.31044776119402984,545,0.3253731343283582
